color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,people,category
Color,John G. Avildsen,141.0,145.0,80.0,794.0,Burgess Meredith,13000.0,117235247.0,Drama|Sport,Sylvester Stallone,Rocky ,375240,16094,Carl Weathers,0.0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,542.0,English,USA,PG,960000.0,1976.0,1000.0,8.1,1.33,0,Sylvester_Stallone|Burgess_Meredith|Carl_Weathers|John_G._Avildsen,1
Color,John A. Davis,105.0,88.0,8.0,8000.0,Meryl Streep,12000.0,28133159.0,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,30055,33822,Julia Roberts,1.0,ant|miniaturization|punishment|shrinking|sudden change in size,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,70.0,English,USA,PG,50000000.0,2006.0,11000.0,5.9,1.85,593,Nicolas_Cage|Meryl_Streep|Julia_Roberts|John_A._Davis,8
Color,Florian Henckel von Donnersmarck,321.0,103.0,207.0,3000.0,Angelina Jolie Pitt,40000.0,67631157.0,Action|Romance|Thriller,Johnny Depp,The Tourist ,176598,55175,Rufus Sewell,0.0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,374.0,English,USA,PG-13,100000000.0,2010.0,11000.0,6.0,2.35,25000,Johnny_Depp|Angelina_Jolie_Pitt|Rufus_Sewell|Florian_Henckel_von_Donnersmarck,46
Color,David Koepp,164.0,99.0,192.0,282.0,Kathryn Erbe,347.0,21133087.0,Horror|Mystery|Thriller,Illeana Douglas,Stir of Echoes ,62468,1254,Lusia Strus,0.0,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,http://www.imdb.com/title/tt0164181/?ref_=fn_tt_tt_1,374.0,English,USA,R,12000000.0,1999.0,301.0,7.0,1.85,0,Illeana_Douglas|Kathryn_Erbe|Lusia_Strus|David_Koepp,49
Color,Stefan Ruzowitzky,62.0,103.0,24.0,10.0,R??diger Vogler,127.0,5725.0,Horror|Thriller,Benno F??rmann,Anatomy ,10220,163,Sebastian Blomberg,0.0,dissection|male pubic hair|medical school|medical student|train,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,110.0,German,Germany,R,8400000.0,2000.0,10.0,6.1,2.35,560,Benno_F??rmann|R??diger_Vogler|Sebastian_Blomberg|Stefan_Ruzowitzky,49
Color,Steve Trenbirth,85.0,72.0,0.0,384.0,Phil Collins,3000.0,47887943.0,Adventure|Animation|Family|Musical,Haley Joel Osment,The Jungle Book 2 ,11634,4480,Tony Jay,0.0,dog|jungle|shot gun|tiger|village,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58.0,English,USA,G,20000000.0,2003.0,455.0,5.4,1.85,227,Haley_Joel_Osment|Phil_Collins|Tony_Jay|Steve_Trenbirth,28
Color,Rob Bowman,9.0,91.0,38.0,117.0,Jacob Vargas,584.0,2850263.0,Adventure|Comedy|Sport,Alanna Ubach,Airborne ,5061,1218,Brittney Powell,0.0,cincinnati ohio|high school|hockey|jock strap|zoologist,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,70.0,English,USA,PG,2600000.0,1993.0,399.0,6.2,1.85,0,Alanna_Ubach|Jacob_Vargas|Brittney_Powell|Rob_Bowman,38
Color,Jon Favreau,486.0,126.0,4000.0,4000.0,Jeff Bridges,21000.0,318298180.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3.0,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,140000000.0,2008.0,12000.0,7.9,2.35,10000,Robert_Downey_Jr.|Jeff_Bridges|Jon_Favreau|Jon_Favreau,33
Color,Mimi Leder,157.0,123.0,75.0,754.0,Haley Joel Osment,18000.0,33508922.0,Drama,Kevin Spacey,Pay It Forward ,95860,23920,Angie Dickinson,2.0,alcoholism|boy|good deed|protective male|teacher,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,660.0,English,USA,PG-13,40000000.0,2000.0,3000.0,7.2,1.85,16000,Kevin_Spacey|Haley_Joel_Osment|Angie_Dickinson|Mimi_Leder,1
Color,David Webb Peoples,21.0,90.0,73.0,26.0,Joan Chen,848.0,882290.0,Action|Sci-Fi|Sport,Delroy Lindo,The Blood of Heroes ,4792,1526,Anna Katarina,2.0,battle|blood splatter|combat|game|showdown,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43.0,English,Australia,R,10000000.0,1989.0,643.0,6.5,1.33,999,Delroy_Lindo|Joan_Chen|Anna_Katarina|David_Webb_Peoples,19
Color,Nick Gomez,84.0,96.0,22.0,324.0,Jamie Lee Curtis,8000.0,15427192.0,Comedy|Crime|Mystery,Will Ferrell,Drowning Mona ,11768,11078,Tracey Walter,0.0,crying woman|plot|suspect|waitress|younger man older woman relationship,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,148.0,English,USA,PG-13,16000000.0,2000.0,2000.0,5.6,1.85,492,Will_Ferrell|Jamie_Lee_Curtis|Tracey_Walter|Nick_Gomez,11
Color,Chan-wook Park,202.0,112.0,0.0,38.0,Yeong-ae Lee,717.0,211667.0,Crime|Drama,Min-sik Choi,Lady Vengeance ,53508,907,Hye-jeong Kang,0.0,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,http://www.imdb.com/title/tt0451094/?ref_=fn_tt_tt_1,131.0,Korean,South Korea,R,4200000000.0,2005.0,126.0,7.7,2.35,4000,Min-sik_Choi|Yeong-ae_Lee|Hye-jeong_Kang|Chan-wook_Park,17
Color,Peter Hedges,169.0,105.0,54.0,988.0,Odeya Rush,3000.0,51853450.0,Comedy|Drama|Family|Fantasy,Jennifer Garner,The Odd Life of Timothy Green ,37398,9069,Common,0.0,dodgeball|portrait|soccer|soccer game|young love,http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1,110.0,English,USA,PG,25000000.0,2012.0,2000.0,6.6,1.85,11000,Jennifer_Garner|Odeya_Rush|Common|Peter_Hedges,27
Color,Roger Christian,174.0,119.0,64.0,41.0,Michael Byrne,743.0,21471685.0,Action|Adventure|Sci-Fi,Richard Tyson,Battlefield Earth ,65464,971,John Topor,0.0,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,1308.0,English,USA,PG-13,44000000.0,2000.0,117.0,2.4,2.35,0,Richard_Tyson|Michael_Byrne|John_Topor|Roger_Christian,19
Color,Robert Redford,199.0,122.0,0.0,939.0,Tom Wilkinson,18000.0,11538204.0,Crime|Drama|History,Robin Wright,The Conspirator ,23696,21163,Stephen Root,0.0,john wilkes booth|lawyer|lincoln assassination|trial|truth,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,135.0,English,USA,PG-13,25000000.0,2010.0,1000.0,7.0,2.35,0,Robin_Wright|Tom_Wilkinson|Stephen_Root|Robert_Redford,47
Color,Marc Webb,495.0,142.0,464.0,825.0,Andrew Garfield,15000.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 ,321227,28631,B.J. Novak,0.0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,PG-13,200000000.0,2014.0,10000.0,6.7,2.35,41000,Emma_Stone|Andrew_Garfield|B.J._Novak|Marc_Webb,19
Color,Guillaume Canet,91.0,144.0,0.0,745.0,Lili Taylor,15000.0,41229.0,Crime|Drama|Thriller,Mila Kunis,Blood Ties ,14612,18442,Billy Crudup,6.0,1970s|flashback|love|money|murder,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,41.0,English,France,R,25500000.0,2013.0,960.0,6.5,2.35,0,Mila_Kunis|Lili_Taylor|Billy_Crudup|Guillaume_Canet,17
Color,Jon M. Chu,351.0,122.0,209.0,934.0,Dwayne Johnson,17000.0,122512052.0,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,146352,31958,Elodie Yung,6.0,general|gi joe|martial arts|ninja|president,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,288.0,English,USA,PG-13,130000000.0,2013.0,12000.0,5.8,2.35,42000,Channing_Tatum|Dwayne_Johnson|Elodie_Yung|Jon_M._Chu,35
Color,Nadine Labaki,109.0,95.0,0.0,0.0,Adel Karam,227.0,1060591.0,Comedy|Drama|Romance,Yasmine Al Massri,Caramel ,9750,231,Nadine Labaki,0.0,caramel|friendship|police|secret|suitor,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,66.0,Arabic,France,PG,1300000.0,2007.0,4.0,7.2,1.85,0,Yasmine_Al_Massri|Adel_Karam|Nadine_Labaki|Nadine_Labaki,24
Color,Renny Harlin,68.0,102.0,212.0,195.0,Lane Smith,10000.0,354704.0,Crime|Drama|Horror|Thriller,Viggo Mortensen,Prison ,2705,11083,Hal Landon Jr.,0.0,electric chair|haunting|prison|prisoner|revenge,http://www.imdb.com/title/tt0095904/?ref_=fn_tt_tt_1,38.0,English,USA,R,1300000.0,1987.0,633.0,5.9,1.85,314,Viggo_Mortensen|Lane_Smith|Hal_Landon_Jr.|Renny_Harlin,17
Color,Zack Snyder,435.0,128.0,0.0,826.0,Abbie Cornish,4000.0,36381716.0,Action|Fantasy,Jon Hamm,Sucker Punch ,197584,7067,Scott Glenn,4.0,alternate reality|escape|girl gang|prostitution|samurai,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,918.0,English,USA,PG-13,82000000.0,2011.0,2000.0,6.1,2.35,42000,Jon_Hamm|Abbie_Cornish|Scott_Glenn|Zack_Snyder,3
Color,Philip Kaufman,80.0,193.0,133.0,820.0,Scott Glenn,2000.0,21500000.0,Adventure|Drama|History,Dennis Quaid,The Right Stuff ,45271,6341,Sam Shepard,0.0,astronaut|sound barrier|space program|u.s. air force|u.s. space program,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170.0,English,USA,PG,27000000.0,1983.0,826.0,7.9,1.85,0,Dennis_Quaid|Scott_Glenn|Sam_Shepard|Philip_Kaufman,14
