,genres,plot_keywords,movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,imdb_score,people,cat
0,Action|Adventure|Fantasy|Sci-Fi,avatar|future|marine|native|paraplegic,Avatar ,CCH Pounder,Joel David Moore,Wes Studi,James Cameron,7.9,CCH_Pounder|Joel_David_Moore|Wes_Studi|James_Cameron,4
1,Action|Adventure|Fantasy,goddess|marriage ceremony|marriage proposal|pirate|singapore,Pirates of the Caribbean: At World's End ,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,7.1,Johnny_Depp|Orlando_Bloom|Jack_Davenport|Gore_Verbinski,23
2,Action|Adventure|Thriller,bomb|espionage|sequel|spy|terrorist,Spectre ,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,6.8,Christoph_Waltz|Rory_Kinnear|Stephanie_Sigman|Sam_Mendes,21
3,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,The Dark Knight Rises ,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,8.5,Tom_Hardy|Christian_Bale|Joseph_Gordon-Levitt|Christopher_Nolan,40
4,Action|Adventure|Sci-Fi,alien|american civil war|male nipple|mars|princess,John Carter ,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,6.6,Daryl_Sabara|Samantha_Morton|Polly_Walker|Andrew_Stanton,4
5,Action|Adventure|Romance,sandman|spider man|symbiote|venom|villain,Spider-Man 3 ,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,6.2,J.K._Simmons|James_Franco|Kirsten_Dunst|Sam_Raimi,23
6,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,17th century|based on fairy tale|disney|flower|tower,Tangled ,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,7.8,Brad_Garrett|Donna_Murphy|M.C._Gainey|Nathan_Greno,16
7,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,Avengers: Age of Ultron ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,7.5,Chris_Hemsworth|Robert_Downey_Jr.|Scarlett_Johansson|Joss_Whedon,27
8,Adventure|Family|Fantasy|Mystery,blood|book|love|potion|professor,Harry Potter and the Half-Blood Prince ,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,7.5,Alan_Rickman|Daniel_Radcliffe|Rupert_Grint|David_Yates,7
9,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,Batman v Superman: Dawn of Justice ,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,6.9,Henry_Cavill|Lauren_Cohan|Alan_D._Purwin|Zack_Snyder,4
10,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,Superman Returns ,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,6.1,Kevin_Spacey|Marlon_Brando|Frank_Langella|Bryan_Singer,30
11,Action|Adventure,action hero|attempted rape|bond girl|official james bond series|revenge,Quantum of Solace ,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,6.7,Giancarlo_Giannini|Mathieu_Amalric|Rory_Kinnear|Marc_Forster,23
12,Action|Adventure|Fantasy,box office hit|giant squid|heart|liar's dice|monster,Pirates of the Caribbean: Dead Man's Chest ,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,7.3,Johnny_Depp|Orlando_Bloom|Jack_Davenport|Gore_Verbinski,23
13,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,The Lone Ranger ,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,6.5,Johnny_Depp|Ruth_Wilson|Tom_Wilkinson|Gore_Verbinski,23
14,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,Man of Steel ,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,7.2,Henry_Cavill|Christopher_Meloni|Harry_Lennix|Zack_Snyder,4
15,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,The Chronicles of Narnia: Prince Caspian ,Peter Dinklage,Pierfrancesco Favino,Dami??n Alc??zar,Andrew Adamson,6.6,Peter_Dinklage|Pierfrancesco_Favino|Dami??n_Alc??zar|Andrew_Adamson,23
16,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,The Avengers ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,8.1,Chris_Hemsworth|Robert_Downey_Jr.|Scarlett_Johansson|Joss_Whedon,27
17,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,Pirates of the Caribbean: On Stranger Tides ,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,6.7,Johnny_Depp|Sam_Claflin|Stephen_Graham|Rob_Marshall,23
18,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,Men in Black 3 ,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,6.8,Will_Smith|Michael_Stuhlbarg|Nicole_Scherzinger|Barry_Sonnenfeld,4
19,Adventure|Fantasy,army|elf|hobbit|middle earth|orc,The Hobbit: The Battle of the Five Armies ,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,7.5,Aidan_Turner|Adam_Brown|James_Nesbitt|Peter_Jackson,23
20,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,The Amazing Spider-Man ,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,7.0,Emma_Stone|Andrew_Garfield|Chris_Zylka|Marc_Webb,23
21,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,Robin Hood ,Mark Addy,William Hurt,Scott Grimes,Ridley Scott,6.7,Mark_Addy|William_Hurt|Scott_Grimes|Ridley_Scott,13
22,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,The Hobbit: The Desolation of Smaug ,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,7.9,Aidan_Turner|Adam_Brown|James_Nesbitt|Peter_Jackson,23
23,Adventure|Family|Fantasy,children|epic|friend|girl|quest,The Golden Compass ,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,6.1,Christopher_Lee|Eva_Green|Kristin_Scott_Thomas|Chris_Weitz,7
24,Action|Adventure|Drama|Romance,animal name in title|ape abducts a woman|gorilla|island|king kong,King Kong ,Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,7.2,Naomi_Watts|Thomas_Kretschmann|Evan_Parke|Peter_Jackson,13
25,Drama|Romance,artist|love|ship|titanic|wet,Titanic ,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,7.7,Leonardo_DiCaprio|Kate_Winslet|Gloria_Stuart|James_Cameron,39
26,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,Captain America: Civil War ,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,8.2,Robert_Downey_Jr.|Scarlett_Johansson|Chris_Evans|Anthony_Russo,27
