color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,category
John Herzfeld,151.0,120.0,17.0,808.0,Charlize Theron,22000.0,24375436.0,Action|Crime|Drama|Thriller,Robert De Niro,15 Minutes ,42547,33585,Kelsey Grammer,1.0,criminal|detective|fire|homicide|media,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265.0,English,USA,R,42000000.0,2001.0,9000.0,6.1,2.35,748,Robert_De_Niro|Charlize_Theron|Kelsey_Grammer|John_Herzfeld,34
Panos Cosmatos,97.0,110.0,22.0,48.0,Marilyn Norry,434.0,56129.0,Sci-Fi|Thriller,Chris Gauthier,Beyond the Black Rainbow ,6555,645,Eva Bourne,1.0,exploitation|four word title|hallucinogen|lynchian|telepathy,http://www.imdb.com/title/tt1534085/?ref_=fn_tt_tt_1,82.0,English,Canada,R,1100000.0,2010.0,95.0,6.1,2.35,0,Chris_Gauthier|Marilyn_Norry|Eva_Bourne|Panos_Cosmatos,11
Jared Hess,220.0,92.0,100.0,482.0,Diedrich Bader,970.0,44540956.0,Comedy,Jon Heder,Napoleon Dynamite ,161448,3950,Jon Gries,0.0,class president|family relationships|friend|high school|jock,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,1473.0,English,USA,PG,400000.0,2004.0,759.0,6.9,1.85,0,Jon_Heder|Diedrich_Bader|Jon_Gries|Jared_Hess,14
Wallace Wolodarsky,53.0,93.0,32.0,503.0,Barry Watson,529.0,10198766.0,Comedy,Heather Matarazzo,Sorority Boys ,12007,2393,Harland Williams,3.0,college|cruise|drag|female armpit hair|sorority,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,105.0,English,USA,R,12000000.0,2002.0,526.0,5.4,1.85,507,Heather_Matarazzo|Barry_Watson|Harland_Williams|Wallace_Wolodarsky,14
Lucio Fulci,203.0,82.0,385.0,22.0,David Warbeck,48.0,126387.0,Horror,Catriona MacColl,The Beyond ,14985,123,Al Cliver,0.0,doctor|hell|hotel|painter|plumber,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,253.0,Italian,Italy,X,400000.0,1981.0,22.0,6.9,2.35,2000,Catriona_MacColl|David_Warbeck|Al_Cliver|Lucio_Fulci,1
Jay Roach,129.0,68.0,116.0,481.0,Charles Napier,8000.0,53868030.0,Comedy|Crime,Will Ferrell,Austin Powers: International Man of Mystery ,183425,10557,Robert Wagner,2.0,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,425.0,English,USA,PG-13,17000000.0,1997.0,503.0,7.0,2.35,0,Will_Ferrell|Charles_Napier|Robert_Wagner|Jay_Roach,14
Keenen Ivory Wayans,8.0,100.0,322.0,534.0,Salli Richardson-Whitfield,851.0,29392418.0,Action|Comedy|Crime,Jada Pinkett Smith,A Low Down Dirty Shame ,3924,3190,Charles S. Dutton,2.0,drugs|ex cop|gun fu|machismo|shootout,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,26.0,English,USA,R,10000000.0,1994.0,543.0,5.8,1.85,368,Jada_Pinkett_Smith|Salli_Richardson-Whitfield|Charles_S._Dutton|Keenen_Ivory_Wayans,9
??lex de la Iglesia,71.0,104.0,275.0,102.0,Leonor Watling,439.0,3607.0,Crime|Mystery|Thriller,Jim Carter,The Oxford Murders ,22753,940,Danny Sapani,4.0,landlady|lecture|murder|oxford university|symbol,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,94.0,English,Spain,R,10000000.0,2008.0,161.0,6.1,2.35,0,Jim_Carter|Leonor_Watling|Danny_Sapani|??lex_de_la_Iglesia,0
Shari Springer Berman,104.0,108.0,30.0,281.0,Marian Seldes,474.0,453079.0,Comedy,Lynn Cohen,The Extra Man ,4124,2029,Dan Hedaya,4.0,co worker|escort|magazine|teacher|writer,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,29.0,English,USA,R,7000000.0,2010.0,403.0,5.9,2.35,916,Lynn_Cohen|Marian_Seldes|Dan_Hedaya|Shari_Springer_Berman,14
Jonathan Dayton,270.0,101.0,36.0,27.0,Steven Christopher Parker,7000.0,59889948.0,Comedy|Drama,Steve Carell,Little Miss Sunshine ,355810,7227,Jill Talley,1.0,gay|graduate student|sister sister relationship|sprite|uncle nephew relationship,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,889.0,English,USA,R,8000000.0,2006.0,150.0,7.9,2.35,15000,Steve_Carell|Steven_Christopher_Parker|Jill_Talley|Jonathan_Dayton,31
